item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPHEW02090,ProBook 440,Intel i7-1355U,,16.0,512GB,1799.0,19.93324685152154,15294.0,12.1,110.80181685114809
LPLEN03307,ThinkPad T14 Gen 2,Intel Core i5-1135G7,MX450 2GB,16.0,256GB,1599.0,17.494957833416198,9891.0,12.6,109.41186887689929
LPLEN03517OB,ThinkPad X1 Carbon EVO,Intel i7-1365U,,32.0,512GB,1899.05,20.018107129344358,15451.0,12.1,105.41116415757541
LPSAS00157,Galaxy Book3 360 EVO,Intel i7-1355U,,16.0,512GB,1899.0,19.93324685152154,15294.0,12.1,104.96707136135619
LPASU00743,Zenbook S 13 Flip,Intel i7-1260P,,16.0,1TB,1999.0,20.980217285552133,17231.0,12.1,104.95356320936534
LPLEN02684OB,20UB0067US,Intel Core i5-10210U,,16.0,256 GB,931.92000068665,9.537103422151405,6228.0,6.4,102.3382201811781
LPLEN03517,ThinkPad X1 Carbon EVO,Intel i7-1365U,,32.0,512GB,1999.0,20.018107129344358,15451.0,12.1,100.14060594969665
LPSAS00112,Galaxy Book Pro,Intel i7-1165G7,Iris Xe ,8.0,512GB,1730.0,17.259337333117127,10347.0,12.1,99.76495568275796
LPSAS00116,Galaxy Book Pro,Intel i7-1165G7,Intel Iris Xe ,8.0,256GB,1730.0,17.259337333117127,10347.0,12.1,99.76495568275796
LPLEN03138,Business Notebook,Intel i5-1145G7,Intel Iris Xe,16.0,512GB,1599.88,15.60928357234208,9970.0,10.6,97.56533972761757
LPSAS00114,Galaxy Book Pro,Intel i5-1135G7,Iris Xe ,8.0,256GB,1600.0,15.566583177768814,9891.0,10.6,97.29114486105509
LPSAS00113,Galaxy Book Pro,Intel i5-1135G7,Intel Iris Xe ,8.0,512GB,1600.0,15.566583177768814,9891.0,10.6,97.29114486105509
LPLEN03308,ThinkPad T14 Gen 2,Intel Core i5-1135G7,MX450 2GB,16.0,256GB + 512GB,1799.0,17.494957833416198,9891.0,12.6,97.24823698396996
LPLEN02684,ThinkPad X1 Yoga Gen 5,Intel Core i5-10210U,,16.0,256GB,980.95999992371,9.537103422151405,6228.0,6.4,97.2221438477931
LPLGE00035,Gram,Intel i7-1360P,Intel Iris Xe,16.0,512GB,2299.99,22.103399816226148,19309.0,12.1,96.10215616687965
LPLEN01858,20TA0025US,Intel Core i7 i7-1165G7,,8.0,512 GB,1805.7,17.259337333117127,10347.0,12.1,95.58252939645084
LPASU00591OB,L510MA-DS09-CA,Intel Celeron N4020,Intel UHD  600,4.0,64GB,246.05,2.2873166114317693,1556.0,1.5,92.96145545343505
LPSAS00111,Galaxy Book Pro,Intel i7-1165G7,Iris Xe ,8.0,512GB,1870.0,17.259337333117127,10347.0,12.1,92.29592156747127
LPASU00590OB,Vivobook 14 Flip,Intel Celeron N4500,Intel UHD ,4.0,128GB,474.05,4.3608810959961515,2003.0,3.4,91.99200708777873
LPLEN02741,20W400K3US,Intel i5-1145G7,Intel Iris Xe,16.0,512GB,1720.9,15.60928357234208,9970.0,10.6,90.70418718311396
LPSAS00115,Galaxy Book Pro,Intel i5-1135G7,Intel Iris Xe ,8.0,512GB,1730.0,15.566583177768814,9891.0,10.6,89.98024958247869
LPSAS00156,Galaxy Book3 Pro 360 EVO,Intel i7-1360P,,16.0,1TB,2499.0,22.103399816226148,19309.0,12.1,88.44897885644717
LPASU00591,Vivobook Go,Intel Celeron N4020,Intel UHD  600,4.0,64GB,259.0,2.2873166114317693,1556.0,1.5,88.31338268076331
LPASU00590,Vivobook 14 Flip Notebook,Intel Celeron N4500,Intel UHD ,4.0,128GB,499.0,4.3608810959961515,2003.0,3.4,87.3924067333898
LPASU00762OB,Vivobook Slate,Intel Pentium Silver Processor N6000,Intel UHD ,8.0,128GB,569.05,4.947876393547635,3089.0,3.4,86.94976528508278
LPLEN03526,,Intel i5-1335U,,16.0,512GB,2249.42,19.370701874055502,16929.0,10.6,86.11420665796294
LPASU00762,Vivobook Slate,Intel Pentium Silver Processor N6000,Intel UHD ,8.0,128GB,599.0,4.947876393547635,3089.0,3.4,82.60227702082864
LPLEN02071,ThinkPad X13 Yoga Gen 2,Intel Core i5 (11th Gen) i5-1135G7 Quad-core,Intel Iris Xe ,8.0,256 GB,2019.0,15.566583177768814,9891.0,10.6,77.10046150455084
LPLEN03465,ThinkPad X1 Yoga EVO,Intel i5-1335U,,16.0,256GB,2534.06,19.370701874055502,16929.0,10.6,76.44137026769494
LPLEN01870,20UN000AUS,Intel Core i7-1160G7 EVO Quad-core,Intel Iris Xe ,16.0,256 GB,2399.88,16.62477703907897,9173.0,12.1,69.27336799789559
LPLEN03478,ThinkPad X1 Yoga Gen 8,Intel i7-1355U,,16.0,512 GB,2884.39,19.93324685152154,15294.0,12.1,69.10732200403392
LPLEN03495,ThinkPad X13 Yoga,Intel i5-10310U,,16.0,256GB,1499.0,9.64952977748355,6436.0,6.4,64.3731139258409
LPASU00810,Chromebook Flip C434,Intel m3-8100Y,,4.0,64GB Flash Memory,699.0,4.447613061791165,2877.0,3.0,63.62822692118977
LPASU00227,Chromebook Flip C434,Intel m3-8100Y,,4.0,64GB Flash Memory,699.0,4.447613061791165,2877.0,3.0,63.62822692118977
LPLEN02299,ThinkPad X13 Yoga Gen 2,Intel Core i7 (11th Gen) i7-1165G7 Quad-core,Intel Iris Xe ,16.0,256GB,2892.49,17.259337333117127,10347.0,12.1,59.669479697828265
