Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
NVIDIA GeForce 840M,N15S-GT,Maxwell,1029,,2000,64,DDR3,4096,12 (FL 11_0),4.5,28,3565,~5.663%,119888,5829n30,8723.5n30,2378n28,2340n27,1361n31,1573n31,,,7191n5,10332n11,,41,,,,,,22.5,,55.9n29,6070.5n18,1674n2,651n3
NVIDIA GeForce GT 745M,N14P-LP/GS,Kepler,837,,1800,128,"DDR3, GDDR5",2048,11,,28,3910,~5.850%,,8411n5,10147n5,2407n5,2249n5,1443n5,1531n5,,,9045n3,13462.5n4,,,,,,,,,,56.7n5,6788.5n4,1559,386
AMD Radeon HD 7770M,Chelsea XT,GCN,675,,4000,128,GDDR5,,11.1,4.1,28,4252,~5.613%,,,,2417,2110,,,,,10468,,,,,,,,,,,,,,
NVIDIA GeForce GTX 560M,N12E-GS,Fermi,775,,1250,192,GDDR5,1536,11,,40,4582,~16.825%,,,,2031n11,1820n11,,,,,9300n11,15327n11,41315,,,,,,,,,,5407n10,,
Intel Iris Pro Graphics 5200,Haswell GT3e,Gen. 7.5 Haswell,200,1300,,eDRAM + 64/128,eDRAM,128,11.1,4.0,22,3845,~9.667%,110085,9877n4,11930n3,2217n5,1923n3,1340n5,1380.5n4,,,8692,13123n2,41727,136n3,,,,,,20.8,,52.3n3,9744,1198,461n2
NVIDIA GeForce GT 740M,"N14P-GV2, ...",Kepler,810,980,1600 - 1800,64/128,DDR3,2048,11,4.3,28,3941,~4.263%,,5352n29,7403n29,1940n29,1848n27,1060.5n28,1150.5n28,,,6591n19,9700n22,3437,112,,,,,,14.4n3,,53.1n12,6522n22,509,455
Intel Iris Plus Graphics 650,Kaby Lake GT3e,Gen. 9.5 Kaby Lake,300,1100,,64/128,DDR4,,12_1,4.4,14,2537,~7.158%,161538,9149.5n2,13153,2924,2762,1655n2,1698,623,555,,15175,,,,,,,,,,59.11n2,8773,1730,813
NVIDIA GeForce 930M,"N16S-GM-B/S, N16S-LP",Maxwell,928,941,1800,64,DDR3,2048,12 (FL 11_0),4.5,28,3200,~4.758%,,6071n6,8309n6,2247n7,2153n7,1290.5n6,1460.5n6,,,7274,11760,,114.2,60.5,,,,,,,45.41n6,5853.5n4,1454,694
Intel Iris Graphics 550,Skylake GT3e,Gen. 9 Skylake,300,1100,,eDRAM + 64/128,eDRAM,64,12_1,4.4,14,3027,~6.575%,144742n4,8171n7,12986n7,2699n6,2533.5n6,1544n7,1638n7,620n3,554n3,9761,15910n3,,205.6,91.1,,78.5,,,,,60.8n8,10057n5,1692n3,819n2
AMD Radeon 530,,GCN,1024,,2250,64,"DDR3, GDDR5",2048,12,4.5,28,2460,~4.683%,107458n4,6371n5,9210n5,2508n5,2327n5,1386n5,1542n5,497n3,443n3,6337.5n2,11481n3,,116.05n2,45.2n2,34.85n2,,,,17n2,6.1n2,44.45n5,7731n3,895n3,386.5n2
AMD Radeon 625,,GCN 1.0,,1024,2250,64,"DDR3, GDDR5",4096,12,4.5,28,1586,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon RX Vega 6 (Ryzen 4000/5000),Vega Renoir,Vega,400,1500,,,,,12_1,4.6,7,1438,~7.679%,182608n5,15286.5n16,21856.5n16,4446n23,4210n23,2537n23,2793n23,971.5n24,852n22,,14700n3,,166.2,,52.3,93.6n2,,,25.4,7.3,54.81n23,10195.5n4,2410.5n2,750n2
Intel Iris Plus Graphics 645,Kaby Lake GT3e,Gen. 9.5 Coffee Lake,300,1150,,,"DDR3, DDR4",,12_1,4.5,14,1619,~3.642%,,,,3238,2985,1736,1893,624,550,,,,198.3,101.8,69.6,,,,,,67.1n2,,,
NVIDIA GeForce 830M,N15?,Maxwell,1029,1150,1800,64,DDR3,2048,12 (FL 11_0),4.4,28,3565,~4.650%,,6044n4,8104.5n4,2094n3,1961n3,1215n4,1386.5n4,,,6163,10222.5n2,,,,,,,,,,50.6n3,5855n3,1123,597
NVIDIA GeForce MX110,N16V-GMR1,Maxwell,965,993,1800,64,"DDR3, GDDR5",,12,4.5,28,2174,~5.583%,124036n2,9867n3,11266n3,2378n3,2121n3,1641n3,1714n3,515n2,450.5n2,9124,14612,,129.9,72.2,52.9,,,,21.8,9,57.8n3,4147,1214,468
Intel Iris Plus Graphics 640,Kaby Lake GT3e,Gen. 9.5 Kaby Lake,300,1050,,64/128,DDR3/DDR4,64,12_1,4.4,14,2537,~5.475%,145481n3,8067n5,11248n4,2561n5,2379n5,1310n5,1393.5n4,494.5n4,437n4,,14117.5n2,,171,31.2,56.1,,,,,6.5,56.2n4,9703n3,1677n2,778.5n2
NVIDIA GeForce 920MX,N16V-GMR,Maxwell,965,993,1800,64,"DDR3, GDDR5",,12,4.5,28,3187,~4.783%,110110n2,6545n2,9113.5n2,1983n5,1835n3,1336.5n2,1448n2,472,417,7407.5n2,12205.5n2,,115.2n2,62.85n2,47.4n2,,,,21.2,8.7,47.72n3,4366n3,1139n2,427n2
Intel Iris Graphics 540,Skylake GT3e,Gen. 9 Skylake,300,1050,,eDRAM + 64/128,eDRAM,64,12_1,4.4,14,3027,~5.871%,126078n4,7235n6,11327n6,2364n6,2211.5n6,1354n5,1448n5,,,8828n2,13568.5n2,,183,86,60.4,,,,,6.5,55.3n6,8277.5n4,1525.5n4,712.5n4
Intel UHD Graphics 24EUs (Alder Lake-N),Alder Lake Xe,Gen. 12,450,750,,,,,12_1,4.6,10,346,~471%,55681n6,7021n7,8303n7,1717n7,1490n7,1092n7,1172n7,364n7,317n7,5768n6,10126.5n6,,,,,54.05n4,,,,4.6n6,39.85n7,8288.5n6,644n6,504.5n4
NVIDIA Quadro K2000M,N14P-Q3,Kepler,745,,1800,128,DDR3,2048,11,4.1,28,4214,~5.446%,,8010n2,8766n2,1995n5,1798n4,1040,1046,,,7947n4,11991n5,,,,,,,,17,,,6749n4,,139.5n2
NVIDIA GeForce GT 735M,N14M-LP,Kepler,575,889,1800 - 2000,64,DDR3,2048,11,,28,3910,~4.146%,,4718.5n4,6757n4,1791n4,1713n4,933.5n4,1023.5n4,,,5687.5n2,8527n2,,,,,,,,,,49.24n2,6155n3,,255
ATI Mobility Radeon HD 5870,Broadway-XT,Terascale 2,700,,1000,128,"DDR3, GDDR3, GDDR5",1024,11,,40,5090,~2117%,,,,,,,,,,7999n10,12830.5n10,36969n3,,,,,,,,,,6609n7,,
NVIDIA GeForce 825M,,Kepler,850,,1800,64,DDR3,2048,12 (FL 11_0),4.3,28,3609,~4.738%,,5421n2,7416n2,1859.5n2,1756.5n2,1050n2,1150n2,,,6000,9290,,,,,,,,,,48.95,,,
NVIDIA Quadro 5000M,Fermi,Fermi,405,,1200,256,GDDR5,2048,11,,40,4889,~138%,,,,,,,,,,7766.5n2,12967,,,,,,,,,,,,,
AMD FirePro M4000,Cape Verde GLM,GCN,600,,4500,128,GDDR5,2048,11,4.1,28,4184,~6.646%,,7729,12587,2186n2,1981n2,1617,1713,,,8627.5n2,13930.5n2,,,,,,,,21.3,,,8477,,470
ATI FirePro M7820,,Terascale 2,700,,1000,128,GDDR5,,11,,40,4976,~18.44%,,,,,,,,,,,12531.5n2,,,,,,,,,,,,,
AMD Radeon HD 6870M,Granville-PRO,Terascale 2,675,,1000,128,"DDR3, GDDR3, GDDR5",1024,11,,40,4725,~21.24%,,,,,,,,,,,14396,,,,,,,,,,,,,
AMD Radeon HD 8830M,,GCN,575,,2000,128,DDR3,2048,11.1,4.1,28,4014,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 8770M,,GCN,775,,4500,128,GDDR5,2048,11.1,,28,4046,~7.621%,,,,2206,1934,,,,,8530,12680,,,,,,,,,,,7033,,
AMD Radeon R7 M260X,Mars,GCN,715,,4000,128,GDDR5,4096,12 (FL 11_1),4.3,28,3629,~5.163%,98071,6619,9034,2114,1903,1336,1396,,,7640,11820,,129.1,37.9,,,,,,,36.37,6664,1212,399
NVIDIA GeForce GTX 460M,N11E-GS,Fermi,675,,1250,192,GDDR5,1536,11,,40,4851,~14.325%,,,,1805n7,1623n7,,,,,7507n12,12942n14,34874n2,,,,,,,,,,5312.5n10,,
NVIDIA GeForce GT 730M,,Kepler,725,,1800 - 2000,64/128,DDR3,4096,11,,28,4000,~4.858%,86656,5782.5n8,7152n8,1886n7,1722n7,1001n9,1061n9,,,6788n6,10333n9,,48,,,,,,14.1,,47.57n5,6540n7,,276
NVIDIA GeForce GT 645M,N13P-GS,Kepler,710,,1800,128,DDR3,2048,11,,28,4285,~5.642%,,6537n2,8654.5n2,1962.5n4,1844.5n4,1146.5n2,1151.5n2,,,7356.5n4,11189n4,,,,,,,,17.65n2,,,5548n2,,
AMD Radeon HD 7750M,Lombok XL,GCN,575,,4000,128,GDDR5,,11.1,4.1,28,4252,~3.88%,,,,2382,2085,,,,,,,,,,,,,,,,,,,
AMD FirePro M4100,,GCN,670,,4000,128,GDDR5,2048,12 (FL 11_1),4.3,28,3727,~446%,,5125,6297,1921,1728,815,857,,,,9320,,,,,,,,10.9,,37.66,6578,,306
AMD Radeon HD 8750M,Mars Pro,GCN,620,775,2000 - 4000,128,"GDDR5, DDR3",2048,11.1,,28,4046,~4.454%,,5610n9,8524.5n8,1863.5n10,1698n10,1186n9,1276.5n8,,,6840n7,8901.5n8,,,,,,,,16.9,,40.25n4,6519n8,1217.5n2,372.5n2
NVIDIA Quadro 3000M,Fermi,Fermi,450,,625,256,GDDR5,2048,11,,40,4679,~7.621%,,,,1742,1539,,,,,7941,14220.5n2,,,,,,,,,,,6519,,
AMD Radeon R7 M270,Opal XT / Mars,GCN,825,,1800 - 2000,128,DDR3,4096,12 (FL 11_1),4.3,28,3629,~467%,,4830.5n2,6364.5n2,2014n2,1857.5n2,1177n2,1258n2,,,6715n2,9791.5n2,,124.85n2,33.65n2,36.8,,,,23.9,,37.41n2,6141.5n2,1203n2,534.5n2
AMD Radeon R7 M265,Opal XT / Mars,GCN,825,980,1800 - 2000,64/128,DDR3,4096,12 (FL 11_1),4.3,28,3629,~4.642%,,5334.5n6,8401.5n6,2012n5,1882n5,1211n5,1336n5,,,6175n2,8876n3,,,,,,,,,,32.85n2,4563.5n2,,
NVIDIA Quadro FX 3800M,N10E-GLM4,G9x,675,,1000,256,GDDR3,1024,10,,55,5108,~19.717%,,,,,,,,,,6779n3,12923n3,34790n2,,,,,,,,,,4928n2,,
NVIDIA GeForce GTX 285M,N10E-GTX1,G9x,576,,1020,256,GDDR3,1024,10,,55,5401,~9.513%,,,,,,,,,,6498n3,12988.5n2,,,,,,,,,,,4941,,
ATI Mobility Radeon HD 4870,M98-XT,Terascale 1,550,,888,256,GDDR5,1024,10.1,,55,5453,~8.413%,,,,,,,,,,6631,10655n2,,,,,,,,,,,5190,,
AMD Radeon R7 (Bristol Ridge),Bristol Ridge,GCN 1.2,,900,,64/128,,,12 (FL 12_0),4.4,28,2753,~383%,52245.5n4,3942n5,5311n5,1794n5,1852n5,866n5,1013n5,358n3,347n3,5568,6644.5n2,,90,25.9,24.3,,,,13.9,3.5,23.16n5,4845n4,1450n3,362.5n2
NVIDIA GeForce GT 640M,N13P-GS,Kepler,625,645,1800 - 4000,128,"DDR3, GDDR5",2048,11,,28,4285,~5.958%,80836,5571,9024,1860.5n12,1728n12,1153,1225,,,7425n13,10625.5n14,12955,,,,,,,,,42.42,5635n11,1114,101
AMD Radeon R7 (Carrizo),Carrizo,GCN 1.2/2.0,,800,,64/128,,,12 (FL 12_0),4.4,28,3116,~3.663%,61071n2,4470n5,7431n5,1922n6,1792n4,1063n4,1137n4,,,5200n3,6528n4,,90.95n2,24.47n2,,,,,,,28.68n4,5071n3,1345n3,394n3
AMD Radeon R7 (Kaveri),Kaveri,GCN 1.1,553,686,,64/128,,,12 (FL 12_0),,28,3481,~3.650%,,4719.5n2,6544,1794.5n4,1734n2,1039n2,851,,,4483,7921.5n2,,,,,,,,,,31.18n2,4618n2,1112.5n2,460n2
AMD Radeon R7 M460,,GCN,984,,2000,64,,,12,4.3,28,2854,~4.563%,105142,4755,6081,2256.5n2,2139n2,1054,1177,,,5304,8587,,101.4,45.5,,,,,,,37.73n2,7777n2,1608,319
AMD Radeon HD 7730M,Lombok GL,GCN,575,675,1800,128,DDR3,,11.1,4.1,28,4252,~5.921%,,,,1684n2,1478,,,,,7056n2,9615,,,,,,,,,,,5154,,
AMD Radeon R7 M360,,GCN 2.0,1125,,2000,64,DDR3,4096,12,4.3,28,3145,~475%,82837n2,4583n5,5746n5,2156n5,2029n5,1024n5,1146n5,463,410,5544,8273.5n4,,111.2,30.15,,,,,15.4,,34.29n5,7326n5,1523,313
NVIDIA GeForce GTX 280M,N10E-GTX,G9x,585,,950,256,GDDR3,1024,10,,55,5401,~2117%,,,,,,,,,,6672n5,12551n8,38780n3,,,,,,,,,,5276.5n6,,
NVIDIA GeForce 920M,N16V-GM-S,Kepler,954,,1800,64,DDR3,4096,12 (FL 11_0),4.5,28,3244,~3.975%,90619n3,5240.5n10,7242n10,1822n11,1718.5n10,1047.5n10,1161.5n10,363,329,5587n2,9003.5n4,,98.35n2,46.85n2,35.6n2,,,,,,44.28n11,5181.5n10,1323,586
AMD Radeon HD 8690M,,GCN,775,,4500,64,GDDR5,1024,11.1,,28,4046,~4.738%,,6093,7930,1790,1600,1151,1210,,,,9413,,,,,,,,,,40.98,7043,,
AMD Radeon 620,,GCN 1.0,,1024,2250,64,"DDR3, GDDR5",4096,12,4.5,28,1586,~3.34%,,,,,,,1730,,,,,,,,,,,,,,,,,
AMD Radeon R7 M440,,GCN 1.0,1021,,2000,64,DDR3,,12,,28,2753,~471%,87170.5n2,4783.5n2,6040n2,2305n2,2245n2,1079n2,1197.5n2,433,381,5584n2,8800n2,,112.1,27.1,,,,,,,33.01n2,8207,1516,289
NVIDIA Quadro FX 3700M,NB9E-GLM3,G9x,550,,800,256,GDDR3,1024,10,,65,5601,~7.913%,,,,,,,,,,5053,11000n3,,,,,,,,,,,4481,,
AMD Radeon R7 M260,Opal Pro / Mars,GCN,715,980,1800 - 2000,64/128,DDR3,4096,12 (FL 11_1),4.3,28,3629,~3.854%,,4385n8,5603n7,1942.5n8,1897n8,946.5n8,1067n7,,,5424.5n2,7810n3,,,,,,,,14.2,,33.81n7,4919n5,1334n2,295
AMD Radeon R7 M340,Meso Pro DDR3,GCN,1021,,2000,64,DDR3,,12,4.3,28,3104,~3.967%,69098,5272.5n4,6153n4,2268n4,2148n4,1091.5n4,1208.5n4,,,5427,8982,,109.3,28.7,27.9,,,,,,33.47n4,6111.5n2,1455.5n2,274
AMD Radeon 520,,GCN 1.0,1030,,2250,64,"DDR3, GDDR5",2048,12,4.5,28,2460,~3.883%,77543,7240n2,8412.5n2,2232n2,2016.5n2,1232.5n2,1319n2,454.5n2,397n2,5266,6492,,114.1,52.9,35.4,,,,12,4.1,35.56n2,9124,929,325
AMD Radeon 610,,GCN 1.0,,1030,2250,64,GDDR5,4096,12,4.5,28,1586,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon 610M,RDNA 2,RDNA 2,400,2200,,,,,12_2,4.6,6,451,~4.663%,,13194.5n2,13645.5n2,1931.5n2,1704n2,1154n2,1217n2,425.5n2,369.5n2,3575,7195,,,,,104.6,,,,,77.65n2,11925,517,142
AMD Radeon RX Vega 6 (Ryzen 2000/3000),Vega Raven Ridge,Vega,,1100,,,,,12_1,,14,2168,~6.167%,94451,10091n3,16787n3,3111n3,2991n3,2025n3,2245n3,617.5n2,551.5n2,8189,12132,,164.6,,,,,,,,46.42n3,7146,1790,558
AMD Radeon RX Vega 5,Vega,Vega,,1400,,,,,12_1,,7,1438,~6.979%,128628,12224,18282,3763,3535,2231.5n2,2438,825,733,11704,15564,,164.8,67.2,51.9,,,,26.2,7.3,62.25n2,,2134,678
Intel UHD Graphics G1 (Ice Lake 32 EU),Ice Lake G1 Gen. 11,Gen. 11 Ice Lake,300,1100,,,DDR4,,12_1,4.5,10,1662,~5.175%,94938n7,8380.5n14,11096.5n14,2329n15,2127n15,1444.5n14,1521n15,482n10,424.5n10,8750,10955n2,,157.8,84.4,52.7,,,,,,46.53n12,9382.5n2,1288n2,747n2
Intel UHD Graphics 630,Kaby-Lake-H-GT2,Gen. 9.5,300,1150,,64/128,,,12_1,4.4,14,2266,~5.575%,106362n6,9545n9,9798n9,2030n12,1789.5n12,1115n11,1211n11,479.5n10,414.5n10,7704,13216.5n6,,,,,105,,,18.9,6.05n2,54.5n11,8578n7,894,696
Intel UHD Graphics P630,Coffee-Lake-GT2,Gen. 9.5,300,1200,,64/128,,,12_1,4.4,14,2266,,,,,,,,,,,,,,,,,,,,,,,,,
Intel UHD Graphics Xe 16EUs (Tiger Lake-H),Tiger Lake Xe,Gen. 12,350,1450,,,,,12_1,4.6,10,990,~4.483%,64701n3,8223n3,7982n3,1933n3,1654n3,1151n3,1203n3,404n3,348n3,7190n3,12452n3,,123.6,77.3,41.9,52.8,,,,4.75n2,46.26n3,12011n3,745n3,601
Intel HD Graphics 630,Kaby-Lake-H-GT2,Gen. 9.5 Kaby Lake,300,1150,,64/128,,,12_1,4.4,14,3054,~4.883%,101178n3,9188n5,9715n5,1975n6,1729n6,985n5,1067n5,425,368,7685,12419n3,,139.8,47.2,47.2,,,,18.8,5.3,51.75n4,10479n2,962n3,647n2
Intel HD Graphics P630,Kaby-Lake-H-GT2,Gen. 9.5 Kaby Lake,,,,64/128,,,12_1,4.4,14,3054,~4.413%,,8280,,,,1040,,400,,,,,,,,,,,,,,,,
Intel UHD Graphics G7 (Lakefield GT2 64 EU),Lakefield GT2,Gen. 11 Ice Lake,200,500,,,DDR4,,12_1,4.5,10,1296,~3.654%,87818,5835n2,8408.5n2,1873n2,1791.5n2,1190.5n2,1295.5n2,389,349,,,,,48.4,,,,,,,33.2n2,,1076,491
Intel HD Graphics 530,Skylake GT2,Gen. 9 Skylake,350,1150,,64/128,,,12_1,4.4,14,3054,~4.763%,80241.5n2,7652n11,7500n9,1579n9,1362n9,878n9,935n9,271,235,6831n3,11309n9,,,60.6,,,,,,,42.27n14,8926n11,868,
Intel HD Graphics P530,Skylake GT2,Gen. 9 Skylake,350,1050,,64/128,DDR3/DDR4,,12_1,4.4,14,3027,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R5 (Bristol Ridge),Bristol Ridge,GCN 1.2/2.0,,800,,64/128,,,12 (FL 12_0),4.4,28,2753,~3.658%,58018n2,4980.5n2,8255.5n2,1874n3,1720n3,1053.5n2,1283.5n2,,,,6816.5n2,,107,31.6,,,,,,,30.01n2,5132.5n2,1127,331
Intel UHD Graphics 620,Kaby-Lake-Refresh GT2,Gen. 9.5,300,1150,,,DDR3/DDR4,,12_1,4.4,14,2296,~6.492%,88745.5n100,8139n225,9324n225,1935.5n244,1744n244,1071n213,1168n213,435.5n88,380n88,7330n2,10642n34,34467,119.1n5,58.9n6,39.8n6,51.6,,,19.2,4.7n3,48.84n245,8194n75,937n19,653n13
Intel HD Graphics 620,Kaby-Lake GT2,Gen. 9.5 Kaby Lake,300,1050,,64/128,DDR3/DDR4,,12_1,4.4,14,2663,~9.671%,79066.5n48,5993n118,7725n117,1645.5n132,1508.5n132,858n110,934n110,365n13,321n13,5803n7,8449n23,67477,,,,,,,,4.2n2,40.48n127,8162.5n58,875n22,564n14
AMD Radeon R6 (Carrizo),Carrizo,GCN 1.2/2.0,,800,,64/128,,,12 (FL 12_0),4.4,28,3116,~2.971%,53702.5n4,3524n5,4717n5,1550n11,1437.5n8,842n7,909n6,300,274,4830n2,6896n3,,88.4,29.4,,,,,,,22.48n5,4507n5,918n3,301.5n2
Qualcomm Adreno 690,,,,,,,,,12,,5,1835,~542%,,9818n2,16707.5n2,3077n3,2912n3,2834.5n2,2932.5n2,909,811,,,,,,,,,,,,13.7n2,558,,
Qualcomm Adreno 685,,,,,,,,,12,,7,1835,~2.425%,,,,1968,1927,,,,,,,,167.7,31.7,,,,,,,,373,2292,
Qualcomm Adreno 680,,,,,,,,,12,,7,1835,~2.321%,,,,1847n2,1935.5n2,,,,,,,,140.2,,,,,,,,,353,1890,
ATI Mobility Radeon HD 4860,M97-XT,Terascale 1,650,,1000,128,GDDR5,,10.1,,40,5400,,,,,,,,,,,,,,,,,,,,,,,,,
ATI FirePro M7740,RV740,Terascale 1,650,,1000,128,GDDR5,1024,10.1,,40,5246,~19.717%,,,,,,,,,,6626n2,12109.5n2,34814,,,,,,,,,,6663.5n2,,
ATI Mobility Radeon HD 4850,M98,Terascale 1,500,,850,256,GDDR3,1024,10.1,,55,5453,~20.917%,,,,,,,,,,5263.5n4,9784n5,41976,,,,,,,,,,5682,,
NVIDIA GeForce GTX 260M,N10E-GT,G9x,550,,950,256,GDDR3,1024,10,,55,5401,~17.817%,,,,,,,,,,4901n8,10064n9,34304n4,,,,,,,,,,3917n8,,
NVIDIA GeForce 9800M GTX,NB9E-GTX,G9x,500,,800,256,GDDR3,1024,10,,65,5631,~18.417%,,,,,,,,,,4825n3,10138n5,35460n3,,,,,,,,,,4491n3,,
NVIDIA Quadro FX 2800M,NB10-GLM3,G9x,600,,1000,256,GDDR3,1024,10,,55,5127,~2413%,,,,,,,,,,5783n2,11358.5n2,34844,,,,,,,,,,,,
AMD Radeon HD 7690M XT,Thames XTX,Terascale 2,725,,3600,128,GDDR5,,11,4.1,40,4574,~6.221%,,,,1550.5n2,1346,,,,,7054.5n2,10919n2,,,,,,,,,,,5514,,
AMD FirePro M5950,Whistler-XT,Terascale 2,725,,900,128,GDDR5,1024,11,4.1,40,4629,~6.321%,,,,1500,1350,,,,,6257,10592,,,,,,,,,,,7975,,
NVIDIA GeForce GT 640M LE,N13P-LP,Fermi / Kepler,500,,1800 - 4000,128,"DDR3, GDDR5",2048,11,,28,4285,~5.421%,,,,1385n5,1259n5,,,,,5788n5,8858n5,,,,,,,,,,,5858n4,,
AMD Radeon R6 (Kaveri),Kaveri,GCN 1.1,533,654,,64/128,,,12 (FL 12_0),,28,3481,~2.758%,,3442n4,5336n4,1306n5,1184n4,707.5n4,770.5n4,,,4114n3,5989n3,,85,,,,,,10.6,,21.42n4,3868n3,776.5n2,257.5n2
AMD Radeon HD 8650M,,GCN,650,,4500,64,GDDR5,2048,11.1,,28,3994,~3.217%,,4300,7500,,,920,1050,,,,,,,,,,,,,,,,,
AMD Radeon HD 8730M,,GCN,650,,2000,128,DDR3,2048,11.1,,28,4046,~4.838%,,5206,8054,1507.5n2,1370.5n2,1073,1150,,,6310.5n2,8620n2,,,,,,,,15.7n2,,,,,
AMD Radeon HD 6770M,Whistler-XT,Terascale 2,675 / 725,,800,128,GDDR5,,11,4.0,40,4728,~16.525%,,,,1475.5n10,1328n9,,,,,6106.5n8,10056n7,47877,,,,,,,,,,6907.5n6,,
NVIDIA GeForce GT 635M,N13E-GE2,Fermi,660,753,1800,128/192,"DDR3, GDDR5",2048,11,,40,4392,~521%,,,,1223n7,1110n7,,,,,4995n6,8517.5n6,,,,,,,,,,,5707.5n6,,
NVIDIA GeForce GT 555M,N12E-GE-B,Fermi,525,753,785-900,"128, 192","DDR3,GDDR5",3072,11,,40,4726,~8.325%,,,,1299n15,1146n13,,,,,5884n12,10568n13,14449n2,,,,,,,,,,5436n13,,
ATI Mobility Radeon HD 5850,Broadway-PRO,Terascale 2,625,,2000,128,"DDR3, GDDR3, GDDR5",1024,11,,40,5090,~18.517%,,,,,,,,,,5591.5n12,9655n10,35281,,,,,,,,,,5573n6,,
AMD Radeon HD 6850M,Granville Pro/LP,Terascale 2,575 / 675,,800,128,"DDR3, GDDR5",,11,,40,4726,~14.325%,,,,1644n2,1469.5n2,,,,,6245.5n2,9336,38862,,,,,,,,,,7291n2,,
NVIDIA Quadro 2000M,Fermi,Fermi,550,,900,128,DDR3,2048,11,,40,4679,~6.321%,,,,1421n3,1261n2,,,,,6633.5n2,11656n3,,,,,,,,,,,5671,,
NVIDIA GeForce 9800M GT,NB9E-GT2,G9x,500,,800,256,GDDR3,512,10,,65,5631,~17.817%,,,,,,,,,,4011,9258n3,35284.5n2,,,,,,,,,,4526.5n2,,
NVIDIA GeForce 8800M GTX,NB8E-GTX,G9x,500,,800,256,GDDR3,512,10,,65,5870,~17.617%,,,,,,,,,,3422,9217n15,34985n14,,,,,,,,,,4464.5n14,,
NVIDIA Quadro FX 3600M,NB8E-GLM,G9x,500,,800,256,GDDR3,512,10,,65,5774,~25.413%,,,,,,,,,,,8135.5n2,41502,,,,,,,,,,6193,,
NVIDIA GeForce GT 445M,N11E-GE,Fermi,590,,1250,192 / 128,"DDR3, GDDR5",,11,,40,4851,~5.421%,,,,1291,1148,,,,,5249n2,10304,,,,,,,,,,,4100,,
NVIDIA GeForce GTS 360M,N11E-GS1,GT2xx,575,,1800,128,"DDR3, GDDR3, GDDR5",1024,10.1,,40,5090,~7.313%,,,,,,,,,,5522n3,9865,,,,,,,,,,,3664.5n2,,
AMD Radeon HD 7690M,Thames XT / XTX,Terascale 2,600,725,3600/1800,128,GDDR5/DDR3,,11,4.1,40,4574,~5.821%,,,,1306n2,1141,,,,,5883.5n2,9660,,,,,,,,,,,7618,,
Intel HD Graphics 5600,Broadwell GT2,Gen. 8 Broadwell,300,1050,,64/128,,,12 (FL 11_1),4.3,14,3118,~3.633%,,7499,7757,1651,1431,944,991,,,,,,,,,,,,,,37.89,7445,,
AMD Radeon HD 8670M,,GCN,775,,2000,64,DDR3,1024,11.1,,28,4046,~3.250%,,3977n5,4840n5,1513n5,1396n5,767n5,829n5,,,4077n3,4670n3,,,,,,,,9.4n2,,64.38n2,6007.5n4,,247n2
AMD Radeon HD 6750M,Whistler-PRO,Terascale 2,600,,900,128,GDDR5,,11,,40,4728,~15.225%,,,,1305.5n4,1158.5n4,,,,,5483n5,9361n5,43578,,,,,,,,,,7617n3,,
NVIDIA Quadro K1000M,N14P-Q1,Kepler,850,,1800,128,DDR3,2048,11.1,4.1,28,4214,~5.121%,,,,1232n2,1102n2,,,,,5164.5n2,8340.5n2,,,,,,,,,,,6750n2,,
NVIDIA GeForce GT 550M,N12P-GT,Fermi,740,,900,128,"DDR3, GDDR5",1536,11,,40,4726,~11.925%,,,,1099.5n6,973.5n6,,,,,4781.5n6,8776n3,32347,,,,,,,,,,5380n5,,
AMD Radeon HD 8590M,,GCN,620,,4500,64,GDDR5,,11.1,,28,4046,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTS 260M,N10E-GS,GT2xx,550,,1800,128,"GDDR3, GDDR5",1024,10.1,,40,5296,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTS 160M,N10E-GS1,G9x,600,,800,256,GDDR3,1024,10,,55,5401,~15.717%,,,,,,,,,,3965,9327,30011,,,,,,,,,,3432,,
