Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Xeon W-11855M,Tiger Lake-H,Tiger Lake,7.5MB + 18MB,,45,3200 ‑ 4900,6/12,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,7191,,,,,,,,,
Intel Core i5-11500H,Tiger Lake H45,Tiger Lake,7.5MB + 12MB,,45,2900 ‑ 4600,6/12,10,x86,,948,UHD Graphics Xe 32EUs (Tiger Lake-H),~38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,6987,,,,,,,,,
AMD Ryzen 7 2700X,Zen+,Ryzen 7,4MB + 16MB,,105,3700 ‑ 4300,8/16,12,x86,,2073,UHD Graphics 750,~29.2,10643,5256,34763,1.95,18.68,175.7,1762,430,3944,,,10.8,578,3.48,96.6,4779,226.7,104.5,,10.6,1.6,1,266.8,,4647,45814,,,,5049.5,27789.5,1126,7878,1177,7021.5,,,,,,,,,
Intel Core i5-10400F,Comet Lake,Comet Lake,1.5MB + 12MB,,65,2900 ‑ 4300,6/12,14,x86,,1304,UHD Graphics 750,~30.4,,6719,36564,2.03,14.39,180,1332,438,3201,,,8.74,470.4,6.25,134.7,,228.5,81.2,11.2,,,,332.4,,5064,36731,,,,5587,25403,1217,6349,1220,6365,,,,,,,,215,
Intel Core i5-11400H,Tiger Lake-H,Tiger Lake,7.5MB + 12MB,,45,2700 ‑ 4500,6/12,10,x86,,948,UHD Graphics Xe 16EUs (Tiger Lake-H),~36.5,12043,8712,39095.5,2.5,14.64,218,1277,561,3283,1460.5,8451,7.52,487.52,6.8,231.84,5571,182.25,69.93,9.63,8.15,1.25,0.8,396,662,5116,33444,,,,6110,24947,1461,5961,1500,6006,2090,6317,,156.15,63574.5,190.55,197,250,204
AMD Ryzen 7 4980U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,15,2000 ‑ 4400,8/16,7,x86,,976,Vega 8,~33.1,,5715,35106,2.15,18.87,182,1658,492,3453,1260,9164,9.6,758,,,,,,9.82,,,,342,,4320,42368,,,,,,,,1133,7156,,,,,,,,210,
AMD Ryzen 7 5700U,Lucienne-U (Zen 2),"Lucienne (Zen 2, Ryzen 5000)",4MB + 8MB,,25,1800 ‑ 4300,8/16,7,x86,,1072,Vega 8,~33.8,11662,5780,31131,2.18,16.77,188,1483.5,490,3370,1258,8779,24.58,1081,3.49,110.9,3763,191.5,72.4,10.1,9.2,1.6,1,331.5,572.5,4568,41598,,,,5085,26487,1199,6904,1186,6264,,,,158.1,56365.5,152.9,181.1,215.5,169.35
Intel Xeon E-2176G,Coffee Lake-ER,Coffee Lake,1.5MB + 12MB,,80,3700 ‑ 4700,6/12,14,x86,,1931,UHD Graphics P630,~29.9,11719,7369,39053,2.2,14.58,200,1324,,,,,8.31,467.9,4.52,132.1,6277,233.2,83.3,9.92,8,1.3,0.79,352,,5157,37522,,,,5297,21008,,,1225,6271,,,,,36458,,,,
Intel Core i7-9700,Coffee Lake-R,Coffee Lake,2MB + 12MB,,65,3000 ‑ 4700,8/8,14,x86,,1697,UHD Graphics 630,~30.1,,7473,37381,2.25,14.44,199,1254,474,2892,,,8.31,460.7,4.79,155.8,6945,247.5,77.6,10.5,7.6,1.3,0.78,388.7,,5186,33539,,,,5777,27040,1300,7060,1312,7060,,,,,,,,232,
Intel Core i9-8950HK,Coffee Lake-H,Coffee Lake,1.5MB + 12MB,,45,2900 ‑ 4800,6/12,14,x86,,2113,UHD Graphics 630,~33.8,11055,7149,36591,2.24,13.22,195,1223.5,442.5,2651.5,,,8.41,466.45,8.08,245.4,6420.5,224.9,77.9,8.84,7.2,1.2,0.74,410.8,,5080,,,4567,23881,5665.5,24399.5,,,1097,5205,,,,173.85,40726,,115,,
