Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Pentium Gold 4410Y,Kaby Lake,Kaby Lake,512KB + 2MB,,6,1500,2/4,14,x86,,2434,HD Graphics 615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Celeron 3965Y,Kaby Lake,Kaby Lake,512KB + 2MB,,6,1500,2/2,14,x86,,2434,HD Graphics 615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiSilicon Kirin 950,Cortex-A72/-A53,,,,,2300,8/8,16,ARM,,2946,Mali-T880 MP4,~32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683,5283,,,,,,,270825,460.6,11329,,,,
Samsung Exynos 9609,Exynos 7 Series,Exynos,,,,1600 ‑ 2200,8/8,10,ARM,,1714,Mali-G72 MP3,~12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6123,1478,5223,1603,5324,,,,,,,131830,,9808,31.18,29.9,63,
AMD A6-9220C,Stoney Ridge,Bristol Ridge,1MB,,6,1800 ‑ 2700,2/2,28,x86,,1784,Radeon R5 (Stoney Ridge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Celeron N4505,Jasper Lake,Jasper Lake,1.5MB + 4MB,,10,2000 ‑ 2900,2/2,10,x86,,1073,UHD Graphics (Jasper Lake 16 EU),~16.7,3214,3621.5,6860.5,1.28,2.49,106,197.5,230,441.5,603.5,1148.5,20.92,1003.47,35.84,1131.72,1061.5,72.3,13.65,1.19,1.3,0.19,0.1,2899,5741.5,3046.5,6003.5,,,,2945.5,5082,648,1214.5,653.5,1232,,,,353.4,24502,89.8,71.7,114.15,80.25
Intel Celeron J4025,Gemini Lake Refresh,Gemini Lake,4MB,,10,2000 ‑ 2900,2/2,14,x86,,1507,UHD Graphics 600,~11,2575,2337,4556,0.96,1.81,77,148,178,293,461,857,23.08,1175.7,31.07,983.3,783,53.1,10.6,0.98,1,0.15,0.1,3792,7396,2636,4955,,,,2170,3847,497,919,500,927,,,,,,,,89.2,67.1
Intel Celeron N4500,Jasper Lake,Jasper Lake,1.5MB + 4MB,,6,1100 ‑ 2800,2/2,10,x86,,1073,UHD Graphics (Jasper Lake 16 EU),~15.6,2053,,,1.04,2.1,82,171,188,332,452,709,22.82,1132,50.2,1270,1076,60.6,12.02,0.74,1.1,0.18,0.1,4249,,2853,5394,,,,,,,,594,1018,457,662,,197.1,24838,82.5,71.5,94.75,91.2
Intel Celeron N4020,Gemini Lake Refresh,Gemini Lake,4MB,,6,1100 ‑ 2800,2/2,14,x86,,1507,UHD Graphics 600,~10.9,2495,2184,4427,0.94,1.71,73.75,127.1,162.4,279,308,616,24.17,1220,29.66,932,766,50.1,9.97,0.83,0.95,0.13,0.09,4064,,2456,4498,,,,2004,3433,,,462,836,,,,,,49.9,,80.2,55.25
MediaTek Kompanio 520,2x Cortex-A76 / 6x A55,MediaTek Kompanio 500,,,,2000,8/8,7,ARM,,408,Mali-G52 MP2,~27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,1532,,,,172.6,23443,75.55,40.9,121,80.5
Mediatek Helio P70,Cortex-A73 / A53,Mediatek,,,,2100,8/8,12,ARM,,1707,Mali-G72 MP3,~9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,6339,,,1479,5124,298,1399,295,1443,,,171015,,9097,23.72,32.04,47.5,
Mediatek Helio P65,Cortex-A75 / A55,Mediatek,,,,2000,8/8,12,ARM,,1633,Mali-G52 MP2,~7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,6229,,,1711,5097,357,1211,354,1239.5,,,6412,,10460.5,33.29,27.9,51.5,
MediaTek Helio X27 MT6797X,,Mediatek Helio 20,,,,2600,10/10,,ARM,,1997,Mali-T880 MP4,~12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,4781.5,,,,,,,159874,,6031.5,,,,
Qualcomm Snapdragon 710,Kryo 360,Snapdragon,,,,2200,8/8,10,ARM,,1853,Adreno 616,~12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,6539,1863,5589,1821,5850.5,394,1515,393,1478,,,180127,,12364.5,36.48,36.7,69.5,
Qualcomm Snapdragon 670,Kryo 360 Gold / Silver,Snapdragon,,,,2016,8/8,10,ARM,,1960,Adreno 616,~10,,,,,,,,,,,,,,,,,,,,,,,,,,,6467,,,1624,5172,344,1322,349,1343,,,171622,,10950,33.13,32.5,62,
Qualcomm Snapdragon 665,Kryo 260,Snapdragon,,,,2200,8/8,11,ARM,,1716,Adreno 610,~9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,6117,,,1495,5366,314,1379,310.5,1371.5,,,172978,,9260,30.59,29.12,51,
Qualcomm Snapdragon 662,Kryo 260,Snapdragon,,,,1800 ‑ 2000,8/8,11,ARM,,1716,Adreno 610,~7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,4938,,,314,1381,,,16222,,9385,31.63,28.5,52,
Qualcomm Snapdragon 660,Kryo 260,Snapdragon,,,,2200,8/8,14,ARM,,2416,Adreno 512,~16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,6141,,,1617,5850,321.5,1305,330.5,1440.5,,,186416,630,10070,30.82,32.3,59,
Qualcomm Snapdragon 821 MSM8996 Pro,Kryo,Snapdragon,1.5MB,,,2400,4/4,14,ARM,,2636,Adreno 530,~11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.5,4356,,,,,,,215105,,9493,26.42,22.4,,
Samsung Exynos 7885,Cortex-A73/-A53,Exynos,,,,2200,8/8,14,ARM,,2179,Mali-G71 MP2,~10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5054,,,1525.5,4430,,,,,,,,,9257.5,,,57,
UNISOC T619,Cortex-A75 / A55,,+ 1MB,,,1800 ‑ 2200,8/8,12,ARM,,1484,Mali-G57 MP1,~9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,1489,,,,,,,,,
UNISOC T618,Cortex-A75 / A55,,+ 1MB,,,2000 ‑ 2000,8/8,12,ARM,,1484,Mali-G52 MP2,~11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,5744,,,382,1325.5,,,,,12356.5,42.61,33.33,74.5,58
UNISOC T616,Cortex-A75 / A55,,+ 1MB,,,1800 ‑ 2000,8/8,12,ARM,,1484,Mali-G57 MP1,~10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,5377.5,,,355,1428,428,1548,3122.5,,14081,50.52,38.3,80,57
UNISOC T612,Cortex-A75 / A55,,+ 1MB,,,1800 ‑ 2000,8/8,12,ARM,,598,Mali-G52 MP1,~9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,1323,,,2969,,12581,45.17,31.65,73,46
UNISOC T610,Cortex-A75 / A55,,+ 1MB,,,1800 ‑ 2000,8/8,12,ARM,,1484,Mali-G52 MP2,~8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.5,1298.5,,,1942,,11952,44.18,33.43,,53
UNISOC T606,Cortex-A75 / A55,,+ 1MB,,,1600,8/8,12,ARM,,1484,Mali-G57 MP1,~8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,1185.5,375,1442.5,1218,,10858,48.46,35.13,,51.5
UNISOC Tangula T700,Cortex-A75 / A55,,,,,1800 ‑ 1800,8/8,12,ARM,,999,Mali-G52 MP2,~7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.5,1342,,,2078,,10382,35.89,29.9,65,
Mediatek Helio G88,Cortex-A75 / A55,Mediatek,,,,1800 ‑ 2000,8/8,12,ARM,,1360,Mali-G52 MP2,~7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.5,5838.5,363,1257,375,1284,436,1262.5,3345,,9404,28.58,24.4,48,34.5
Mediatek Helio G85,Cortex-A75 / A55,Mediatek,,,,1800 ‑ 2000,8/8,12,ARM,,1360,Mali-G52 MP2,~9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,5907,,,1662,5301,,,353,1305,,,,,12107,30.77,27.85,45,
Mediatek Helio G80,Cortex-A75 / A55,Mediatek,,,,2000,8/8,12,ARM,,1707,Mali-G52 MP2,~9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5821,,,1702.5,5424.5,,,363.5,1337.5,413,1384,7818,,11782,33.32,28.65,49,44.5
Mediatek Helio G70,Cortex-A75 / A55,Mediatek,,,,2000,8/8,12,ARM,,1707,Mali-G52 MP2,~9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,6725,,,1832,5734,,,387.5,1307.5,,,13756,,10648,29.08,31.2,44,
HiSilicon Kirin 710,Cortex-A73/-A53,,,,,2200,8/8,12,ARM,,1918,Mali-G51 MP4,~9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,5856.5,,,1550,5430,327,1339,330.5,1338,,,184162,,9695,31.56,31.55,62,
HiSilicon Kirin 710A,Cortex-A73/-A53,,,,,2000,8/8,14,ARM,,1317,Mali-G51 MP4,~9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,6201,,,1440,5231.5,,,297,1312,,,,,9453.5,30.19,26.37,55,
Mediatek Helio P60T,Cortex-A73 / A53,Mediatek,,,,2000,8/8,12,ARM,,2179,Mali-G72 MP3,~17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.5,1091.5,,,6791,716,10523.5,37.36,30.44,69.5,48
Mediatek Helio P60,Cortex-A73 / A53,Mediatek,,,,2000,8/8,12,ARM,,2179,Mali-G72 MP3,~10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,6391,,,1479.5,5648.5,,,293,1422,,,142690,,8778,26.19,33,51,
Mediatek MT8788,Cortex-A73 / A53,Mediatek,,,,2000,8/8,12,ARM,,1724,Mali-G72 MP3,~7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,4983,,,291,1383,329,1284,,,10152.5,36.44,25.3,,
Mediatek MT8183,Cortex-A73/-A53,Mediatek MT8,,,,2000,8/8,12,ARM,,1478,Mali-G72 MP3,~10,,,,,,,,,,,,,,,,,,,,,,,,,,,6072,,,1430.5,5376.5,,,300,1293,323,1214,175006,,9822,25.62,26.7,55.5,
Samsung Exynos 7420 Octa,Cortex-A57/-A53,Exynos,,,,2100,8/8,14,ARM,,3216,Mali-T760 MP8,~28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,6201,1237.5,4958,,,,,,,,,169794,546,8518,,,,
Mediatek Helio X25 MTK6797T,Cortex-A72 / A53,Mediatek Helio 20,,,,2500,10/10,20,ARM,,2850,Mali-T880 MP4,~9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,4554,,,,,,,,,6089,,,,
Qualcomm Snapdragon 820 MSM8996,Kryo,Snapdragon,1.5MB,,,2200,4/4,14,ARM,,2926,Adreno 530,~10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,4021,,,,,,,170521,,8987,24.59,21,,
Nvidia Tegra X1,Erista (Cortex-A57 + A53),Tegra,2.5MB,,,2000,8/8,20,ARM,,3271,Tegra X1 Maxwell GPU,~27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,4264,,,,,,,129085,715,8031.5,,,,
Apple A9,Cyclone 3,,,,,1800,2/2,14,ARM,,3024,A9 / PowerVR GT7600,~24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556,4459,,,531,970,,,48849,223,16375,,,,
AMD A4-9120,Stoney Ridge,Bristol Ridge,1MB,,10-15,2200 ‑ 2500,2/2,28,x86,,2393,Radeon R2 (Stoney Ridge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD A4-9120C,Stoney Ridge,Bristol Ridge,1MB,,6,1600 ‑ 2400,2/2,28,x86,,1809,Radeon R4 (Stoney Ridge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm Snapdragon 810 MSM8994,Cortex-A57/-A53,Snapdragon,,,,2000,8/8,20,ARM,,3544,Adreno 430,~17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3012.5,1093.5,3218,1350,3440,,,,,,,117831,579,7924.5,18.08,22.4,,
Samsung Exynos 850,Cortex-A55,,,,,‑ 2000,8/8,8,ARM,,1314,Mali-G52 MP1,~5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,4986,,,178,1042,,,10533,,5454.5,20.2,15.7,36.5,25
Qualcomm Snapdragon 652 MSM8976,Cortex-A72/-A53,Snapdragon,,,,1800,8/8,28,ARM,,3227,Adreno 510,~14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,4612,,,,,,,215365,,9071.5,,,,
Qualcomm Snapdragon 808 MSM8992,Cortex-A53/A57,Snapdragon,,,,2000,6/6,20,ARM,,3544,Adreno 418,~20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3773,1022,2952,1124,2798,,,,,,,97824,651,7948.5,,,,
Qualcomm Snapdragon 650 MSM8956,Cortex-A72/-A53,Snapdragon,,,,1800,6/6,28,ARM,,3227,Adreno 510,~8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,2869,,,,,,,,,8368.5,,,,
Apple A8X,Cyclone 2,,2MB + 4MB,,,1500,3/3,20,ARM,,3352,UHD Graphics 750,~20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812,4477,1821,4357,381,1060,,,,,73235,291.1,10512,,,,
Nvidia Tegra K1 (Denver),Denver,Tegra,2MB,,,2300,2/2,28,ARM,,3353,GeForce ULP K1 (Tegra K1 Kepler GPU),~21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4055,1811,3029,1729,2776,,,,,,,35765,919,8210,,,,
Mediatek Helio X20 MT6797,Cortex-A72 / A53,Mediatek Helio 20,,,,2300,10/10,20,ARM,,2850,Mali-T880 MP4,~9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599,4468,,,,,,,,,7999.5,,,,
Mediatek MT8176,Cortex-A72/-A53,Mediatek,,,,2100,6/6,28,ARM,,2689,PowerVR GX6250,~9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.5,3232.5,,,,,,,,,8897,,,,
Mediatek Helio P25,Cortex-A53,Mediatek Helio 20,,,,2600,8/8,16,ARM,,2872,Mali-T880 MP2,~6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,,,836.5,3860.5,177,891,177,891,,,135249,,4582.5,,,,
Mediatek MT8173,Cortex-A72/-A53,Mediatek,,,,2400,4/4,28,ARM,,3216,PowerVR GX6250,~7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204,3305,,,,,,,,,8570,,,,
MediaTek MT8169A,Cortex-A55,Mediatek MT8,,,,2000,6/6,12,ARM,,350,Mali-G52 MP2,~5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5843,23.54,15.76,38.5,25
Mediatek Helio G37,Cortex-A53,Mediatek Helio G,,,,1800 ‑ 2300,8/8,12,ARM,,1268,PowerVR GE8320,~5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,3716,,,161,706,193,845,,,6000,21.16,15.01,37,
Mediatek Helio G35,Cortex-A53,Mediatek Helio G,,,,2300,8/8,12,ARM,,1268,PowerVR GE8320,~4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,3585,,,170,881,,,1727,,5369.5,17.96,13.3,34,
Mediatek Helio G36,Cortex-A53,Mediatek Helio G,,,,2200,8/8,12,ARM,,325,PowerVR GE8320,~4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,512,,,1003,,5207,23.11,16.9,43,27
Mediatek MT8173C,Cortex-A72/-A53,Mediatek,,,,2100,4/4,28,ARM,,3216,PowerVR GX6250,~51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,10319,,,,
Mediatek MT6595 Turbo,Cortex-A7/-A17,Mediatek,2MB,,,2500,8/8,28,ARM,,3599,PowerVR G6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediatek MT8768,Cortex-A53,Mediatek MT8,,,,1500 ‑ 2000,8/8,,ARM,,1416,PowerVR GE8320,~4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,3745,,,152,780,,,,,4142.5,15.5,13.34,31,
Samsung Exynos 5433 Octa,Cortex-A57/-A53,Exynos,,,,1900,8/8,20,ARM,,3395,Mali-T760 MP6,~28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359,3969,,,,,,,,1023.5,6991,,,,
Apple A8,Cyclone 2,,1MB + 4MB,,,1400,2/2,20,ARM,,3389,PowerVR GX6450,~19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.5,2881.5,1591,2759,,,328,627,,,44118,347.2,7377,,,,
Mediatek Helio G25,Cortex-A53,Mediatek Helio G,,,,2000,8/8,12,ARM,,1268,PowerVR GE8320,~4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3256,,,711,3574,,,141,650,,,,,3974,14.37,12.65,24,
Mediatek Helio A25,Cortex-A53,Mediatek Helio 20,,,,1800,8/8,12,ARM,,1416,PowerVR GE8320,~4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5,860,,,99375,,3779.5,13.05,13.6,23,
Nvidia Tegra K1,"Logan (Cortex-A15 ""r3"" + Kepler-GPU)",Tegra,2MB,,,2300,4/4,28,ARM,,3635,GeForce ULP K1 (Tegra K1 Kepler GPU),~19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4743,1090.5,3278.5,1085,2949,,,,,,,22985,525,6810,,,,
Qualcomm Snapdragon 805 APQ8084,Krait 450,Snapdragon,2MB,,,2700,4/4,28,ARM,,3682,Adreno 420,~18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4469,1073,3141,1008,2576,,,,,,,18314,784,5379,,,,
Qualcomm Snapdragon 636,Kryo 260,Snapdragon,,,,1800,8/8,14,ARM,,2255,Adreno 509,~8,,,,,,,,,,,,,,,,,,,,,,,,,,,5063,,,1337,4941,278,1256,,,,,157981,9121,8559,26.2,26.45,54,
Samsung Exynos 7904,Cortex-A73/-A53,Exynos,,,,1800,8/8,14,ARM,,1794,Mali-G71 MP2,~7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,,,1320,4096,273,1010,239,596,,,133094,,8372,22.61,22.29,52,
Qualcomm Snapdragon 632,Kryo 250,Snapdragon,,,,1800,8/8,14,ARM,,2003,Adreno 506,~7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247,4515,,,271,1233,,,,,8268.5,26.9,27.44,58,
Qualcomm Snapdragon 460,Cortex-A73 / 53,Snapdragon,,,,1800,8/8,14,ARM,,2366,Adreno 610,~14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,5371,,,1290.5,4970,,,254,1155,,,13985,1219,7240.5,25.98,22.55,42.5,
Intel Atom Z3735E,Bay Trail-T,Atom,2MB,,<4,1330 ‑ 1830,4/4,22,x86,,3512,HD Graphics (Bay Trail),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Atom Z3735F,Bay Trail-T,Atom,2MB,,<4,1330 ‑ 1830,4/4,22,x86,,3512,HD Graphics (Bay Trail),~9.7,1164,945,2885.5,0.31,0.87,,,,,,,27.45,1566,35.66,1100,1635,35.9,6.83,,0.62,0.14,0.09,,,,,2238.5,786,2191.5,,,,,,,,,,511,3524,,,,
Intel Atom Z3735G,Bay Trail-T,Atom,2MB,,<4,1330 ‑ 1830,4/4,22,x86,,3512,HD Graphics (Bay Trail),~13.4,1526,946,2891,,,,,,,,,156.3,6113,37.53,1171,1397,31.8,6.55,,0.62,0.14,0.09,,,,,,724,2110,,,,,,,,,,512,3381,,,,
AMD A6-9220e,Stoney Ridge,Bristol Ridge,1MB,,6,1600 ‑ 2400,2/2,28,x86,,2393,Radeon R4 (Stoney Ridge),~9.6,,1056,1741,,,31,86,73,110,,,66.4,2732,35.2,1517,519,14.7,2.65,,0.34,0.07,,,,,,3192,1247,1929,1260,1571,260,293,,,,,,357.7,9070,,12.6,64,
Qualcomm Snapdragon 630,Cortex-A53,Snapdragon,,,,2200,8/8,14,ARM,,2417,Adreno 508,~6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,,,865,4172,,,,,,,,,5011,16.25,,38,
Qualcomm Snapdragon 626,Cortex-A53,Snapdragon,,,,2200,8/8,14,ARM,,2869,Adreno 506,~5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,4557,,,928.5,4496.5,187,1098,,,,,,,4705.5,17.94,19.78,,
Qualcomm Snapdragon 801 MSM8974AC,Krait 400,Snapdragon,2MB,,,2450,4/4,28,ARM,,3836,Adreno 330,~18,,,,,,,,,,,,,,,,,,,,,,,,,,,3594,965.5,2709,1024,2658,,,,,,,18438,826,4549.5,,,,
Samsung Exynos 5430 Octa,Cortex-A7/-A15,Exynos,512KB,,,1800,8/8,20,ARM,,3415,Mali-T628 MP6,~22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,3209,782,2457,,,,,,,,445.7,5640,,,,
UNISOC SC9863A,Cortex-A55,,+ 512KB,,,1200 ‑ 1600,8/8,28,ARM,,1849,GE8322 / IMG8322,~4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3189,,,827,3526,155,808.5,138,629,,,92404,,4018,14.69,13.26,30.5,
Mediatek Helio P23 MT6763T,Cortex-A53,Mediatek Helio 20,,,,2300 ‑ 2500,8/8,16,ARM,,2305,Mali-G71 MP2,~6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2632,,,829,3678,,,,,,,103595,,3913.5,15.99,,,
Mediatek Helio P23 MT6763V,Cortex-A53,Mediatek Helio 20,,,,2000,8/8,16,ARM,,2305,Mali-G71 MP2,~5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,3691,154.5,854.5,150,875,,,100256,,4274,,,29,
Mediatek MT6595,Cortex-A7/-A17,Mediatek,2MB,,,2200,8/8,28,ARM,,3599,PowerVR G6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm Snapdragon 801 APQ8074AB,Krait 400,Snapdragon,2MB,,,2360,4/4,28,ARM,,3671,Adreno 330,~24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3982,915,2327,,,,,,,,,,1047,4127,,,,
Qualcomm Snapdragon 801 MSM8974AB,Krait 400,Snapdragon,2MB,,,2360,4/4,28,ARM,,3836,Adreno 330,~21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3717,919,2619,,,,,,,,,17428,772.5,3131,,,,
Nvidia Tegra 4,Wayne (Cortex A15),Tegra,,,,1800,4/4,28,ARM,,3998,GeForce Tegra 4,~15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3887,922,2513,909,2382,,,,,,,16687,599.5,4901,,18.8,40,
Mediatek MT6595M,Cortex-A7/-A17,Mediatek,2MB,,,2000,8/8,28,ARM,,3599,PowerVR G6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm Snapdragon 801 MSM8974AA,Krait 400,Snapdragon,2MB,,,2260,4/4,28,ARM,,3428,Adreno 330,~27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,2570,,,,,,,,,,1509,4529.5,,,,
Qualcomm Snapdragon 625,Cortex-A53,Snapdragon,,,,2000,8/8,14,ARM,,2869,Adreno 506,~7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,4792,872.5,4319.5,171,1023,,,,,156240,,4502,15.99,17.17,36.5,
UNISOC Tiger T310,,,,,,1800 ‑ 2000,4/4,12,ARM,,1694,PowerVR GE8300,~8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,2969,,,376,756,,,1653,,11986,39.15,28.2,63,45
Qualcomm Snapdragon 439,Cortex-A53,Snapdragon,,,,2000,8/8,12,ARM,,2002,Adreno 505,~5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,,,877.5,3154,177,812,176,823,,,105520,,4755.5,16.3,18.23,35.5,
JLQ JR510,Cortex-A53,,,,,1500 ‑ 2000,8/8,11,ARM,,2002,Mali-G52 MP1,~5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,2671,,,164,818,,,1033,,5975,,14.9,46,25
HiSilicon Kirin 925,Cortex-A15 / Cortex-A7,,,,,1800,8/8,28,ARM,,3394,Mali-T628 MP6,~21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.5,3214,767,1899,,,,,,,,704.5,6461,,,,
Qualcomm Snapdragon 800 MSM8974,Krait 400,Snapdragon,2MB,,,2300,4/4,28,ARM,,3836,Adreno 330,~17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3845,908,2641,991,2330,,,,,,,15263.5,739,4089.5,,,,
Mediatek Helio P20 (LP4) MT6757,Cortex-A53,Mediatek Helio 20,,,,2300,8/8,16,ARM,,2857,Mali-T880 MP2,~8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,3580,,,,,,,130988,,4376.5,,,,
Samsung Exynos 5420 Octa,Cortex-A7/-A15,Exynos,512KB,,,1800,8/8,28,ARM,,3738,UHD Graphics 750,~17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,3589,927.5,2751,818,2145,,,,,,,18111,1067,4297,,,,
HiSilicon Kirin 920,Cortex-A15 / Cortex-A7,,,,,1700,8/8,28,ARM,,3394,Mali-T628 MP4,~18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,3102,738,1752,,,,,,,18892,725,6363,,,,
Samsung Exynos 7880,A53,Exynos,,,,1900,8/8,14,ARM,,2544,Mali-T830 MP3,~5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,4104,,,,,,,,,5256,,,,
HiSilicon Kirin 935,Cortex-A53,,,,,2200,8/8,28,ARM,,3213,Mali-T628 MP4,~26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,2912,,,,,,,,992,4376,,,,
HiSilicon Kirin 659,Cortex-A53,,,,,2360,8/8,16,ARM,,2469,Mali-T830 MP2,~16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3897,,,926.5,3680.5,,,,,,,127602,1173,4980,16.77,16.42,40,
