id,name,passmark
4908,AMD EPYC Embedded 7292P,30542
2849,AMD FirePro A320 APU,2153
255,AMD FX-4100 Quad-Core,2592
1807,AMD FX-4130 Quad-Core,2663
2108,AMD FX-4150 Quad-Core,3327
256,AMD FX-4170 Quad-Core,3023
2118,AMD FX-4200 Quad-Core,3109
1814,AMD FX-4300 Quad-Core,2987
2687,AMD FX-4320,3072
2665,AMD FX-4330,3098
1929,AMD FX-4350 Quad-Core,3290
257,AMD FX-6100 Six-Core,3673
258,AMD FX-6120 Six-Core,3887
1886,AMD FX-6130 Six-Core,4353
259,AMD FX-6200 Six-Core,4096
1781,AMD FX-6300 Six-Core,4201
2896,AMD FX-6330 Six-Core,4418
1910,AMD FX-6350 Six-Core,4537
2199,AMD FX-670K Quad-Core,2980
2375,AMD FX-7500 APU,1920
2475,AMD FX-7600P,2611
2402,AMD FX-7600P APU,2856
2438,AMD FX-770K Quad-Core,2915
260,AMD FX-8100 Eight-Core,3930
261,AMD FX-8120 Eight-Core,4639
262,AMD FX-8140 Eight-Core,4860
263,AMD FX-8150 Eight-Core,5247
1825,AMD FX-8300 Eight-Core,5298
2393,AMD FX-8310 Eight-Core,5128
1782,AMD FX-8320 Eight-Core,5435
2374,AMD FX-8320E Eight-Core,5087
1780,AMD FX-8350 Eight-Core,6047
2347,AMD FX-8370 Eight-Core,6207
2367,AMD FX-8370E Eight-Core,5303
2858,AMD FX-870K Quad Core,3183
2567,AMD FX-8800P,2844
1989,AMD FX-9370 Eight-Core,6114
2014,AMD FX-9590 Eight-Core,6761
2823,AMD FX-9800P,2554
2911,AMD FX-9830P,3311
1843,AMD FX-B4150 Quad-Core,3369
264,AMD G-T40E,289
265,AMD G-T40N,299
3328,AMD G-T40R,120
266,AMD G-T44R,130
1999,AMD G-T48E,429
267,AMD G-T52R,177
1965,AMD G-T56E,442
268,AMD G-T56N,484
2859,AMD Geode NX 2400+,400
2536,AMD GX-210JA SOC,248
2288,AMD GX-212JC SOC,634
2138,AMD GX-217GA SOC,784
2976,AMD GX-218GL SOC,754
2837,AMD GX-222GC SOC,1044
2473,AMD GX-412HC,1090
5050,AMD GX-412TC SOC,638
2081,AMD GX-415GA SOC,1405
5146,AMD GX-416RA SOC,1604
2121,AMD GX-420CA SOC,1794
3760,AMD GX-420MC SOC,1796
2291,AMD GX-424CC SOC,1777
526,AMD Opteron 1212,593
527,AMD Opteron 1212 HE,771
528,AMD Opteron 1214,696
2644,AMD Opteron 1214 HE,806
529,AMD Opteron 1216,781
530,AMD Opteron 1216 HE,727
531,AMD Opteron 1218,910
532,AMD Opteron 1218 HE,979
533,AMD Opteron 1220,1036
534,AMD Opteron 1222,1089
1403,AMD Opteron 1352,1547
1404,AMD Opteron 1354,1449
1405,AMD Opteron 1356,1703
1406,AMD Opteron 1381,1797
2315,AMD Opteron 1385,1898
2149,AMD Opteron 1389,2079
1562,AMD Opteron 144,316
270,AMD Opteron 146,346
271,AMD Opteron 148,392
1563,AMD Opteron 150,393
272,AMD Opteron 152,428
273,AMD Opteron 154,457
516,AMD Opteron 165,531
517,AMD Opteron 170,648
518,AMD Opteron 175,682
519,AMD Opteron 180,746
520,AMD Opteron 185,695
537,AMD Opteron 2218,1036
1616,AMD Opteron 2220,1106
1460,AMD Opteron 2220 SE,909
1911,AMD Opteron 2222,1198
2031,AMD Opteron 2354,1509
