id,name,passmark
gpu1383,GeForce Go 6800 Ultra,137
gpu126,GeForce Go 7200,45
gpu59,GeForce Go 7300,52
gpu1386,GeForce Go 7400,65
gpu1387,GeForce Go 7600,127
gpu1389,GeForce Go 7600 GT,210
gpu1390,GeForce Go 7700,147
gpu1391,GeForce Go 7800,114
gpu1392,GeForce Go 7800 GTX,209
gpu1393,GeForce Go 7900 GS,176
gpu1396,GeForce Go 7900 GTX,270
gpu1399,GeForce Go 7950 GTX,263
gpu3065,GeForce GPU,1195
gpu3757,GeForce GT 1030,2483
gpu1402,GeForce GT 120,168
gpu1403,GeForce GT 120 / 9500 GT,324
gpu1404,GeForce GT 120M,152
gpu1405,GeForce GT 130,381
gpu1406,GeForce GT 130M,146
gpu1407,GeForce GT 140,657
gpu72,GeForce GT 220,214
gpu1408,GeForce GT 220M,121
gpu1409,GeForce GT 230,323
gpu1410,GeForce GT 230M,203
gpu61,GeForce GT 240,514
gpu1411,GeForce GT 240M,203
gpu1413,GeForce GT 320,464
gpu1414,GeForce GT 320M,105
gpu1415,GeForce GT 325M,169
gpu1416,GeForce GT 330,400
gpu108,GeForce GT 330M,210
gpu1417,GeForce GT 335M,389
gpu1418,GeForce GT 340,738
gpu2423,GeForce GT 415,251
gpu1419,GeForce GT 415M,286
gpu1420,GeForce GT 420,426
gpu1421,GeForce GT 420M,412
gpu1422,GeForce GT 425M,523
gpu53,GeForce GT 430,601
gpu86,GeForce GT 435M,542
gpu1423,GeForce GT 440,773
gpu1424,GeForce GT 445M,811
gpu1425,GeForce GT 520,306
gpu70,GeForce GT 520M,280
gpu2144,GeForce GT 520MX,282
gpu89,GeForce GT 525M,458
gpu1426,GeForce GT 530,675
gpu27,GeForce GT 540M,483
gpu112,GeForce GT 545,1101
gpu1427,GeForce GT 550M,580
gpu1428,GeForce GT 555M,664
gpu33,GeForce GT 610,305
gpu2877,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368
gpu1429,GeForce GT 620,373
gpu1430,GeForce GT 620M,439
gpu2563,GeForce GT 625,350
gpu2414,GeForce GT 625M,476
gpu1431,GeForce GT 630,681
gpu77,GeForce GT 630M,541
gpu2683,GeForce GT 635,834
gpu2136,GeForce GT 635M,565
gpu1432,GeForce GT 640,1180
gpu2147,GeForce GT 640M,922
gpu2135,GeForce GT 640M LE,680
gpu2242,GeForce GT 645,2005
gpu2388,GeForce GT 645M,924
gpu122,GeForce GT 650M,1208
gpu2952,GeForce GT 705,333
gpu2910,GeForce GT 710,631
gpu2744,GeForce GT 710M,444
gpu2896,GeForce GT 720,610
gpu2890,GeForce GT 720A,600
gpu2529,GeForce GT 720M,463
gpu2906,GeForce GT 730,832
gpu2749,GeForce GT 730A,742
gpu2417,GeForce GT 730M,816
gpu2592,GeForce GT 735M,628
gpu2883,GeForce GT 740,1491
gpu2928,GeForce GT 740A,667
gpu2461,GeForce GT 740M,791
gpu2632,GeForce GT 745A,1228
gpu2564,GeForce GT 745M,1096
gpu2492,GeForce GT 750M,1319
gpu2646,GeForce GT 755M,1664
gpu3586,GeForce GT 820M,579
gpu2591,GeForce GT625M,457
gpu2986,GeForce GTS 150M,504
gpu1435,GeForce GTS 160M,678
gpu1436,GeForce GTS 240,577
gpu29,GeForce GTS 250,603
gpu1437,GeForce GTS 250M,569
gpu1438,GeForce GTS 350M,407
gpu1439,GeForce GTS 360M,651
gpu1,GeForce GTS 450,1315
gpu3596,GeForce GTX 1050,5052
gpu4088,GeForce GTX 1050 (Mobile),4461
gpu4603,GeForce GTX 1050 3GB,5150
gpu3595,GeForce GTX 1050 Ti,6308
gpu4089,GeForce GTX 1050 Ti (Mobile),5918
gpu3922,GeForce GTX 1050 Ti with Max-Q Design,5380
gpu3971,GeForce GTX 1050 with Max-Q Design,4037
gpu3548,GeForce GTX 1060,10075
gpu4086,GeForce GTX 1060 (Mobile),8160
gpu3566,GeForce GTX 1060 3GB,9763
gpu3923,GeForce GTX 1060 5GB,9036
gpu3769,GeForce GTX 1060 with Max-Q Design,7889
gpu3521,GeForce GTX 1070,13515
gpu4087,GeForce GTX 1070 (Mobile),10465
gpu3842,GeForce GTX 1070 Ti,14708
gpu3779,GeForce GTX 1070 with Max-Q Design,10049
gpu3502,GeForce GTX 1080,15509
gpu3699,GeForce GTX 1080 Ti,18541
gpu3784,GeForce GTX 1080 with Max-Q Design,11576
gpu4571,GeForce GTX 1630,5014
gpu4078,GeForce GTX 1650,7868
gpu4090,GeForce GTX 1650 (Mobile),6968
gpu4167,GeForce GTX 1650 SUPER,10121
gpu4195,GeForce GTX 1650 Ti,7577
gpu4209,GeForce GTX 1650 Ti with Max-Q Design,6402
gpu4104,GeForce GTX 1650 with Max-Q Design,6140
gpu4062,GeForce GTX 1660,11705
gpu4159,GeForce GTX 1660 SUPER,12784
